ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE
10397,10135,692
13930,10135,655
11298,10136,158
10397,10140,1269
11292,10140,349
11298,10140,569
12266,10140,744
12478,10140,1826
12889,10140,486
12892,10140,677
13930,10140,1118
14107,10140,328
14747,10140,1180
14771,10140,896
10397,10146,145
11298,10155,89
14771,10157,250
13204,10158,852
10397,10185,500
11298,10185,285
12266,10185,190
10397,10208,143
10397,10257,853
11057,10257,646
11618,10257,143
12889,10257,2237
13204,10257,1073
13930,10257,723
11298,10279,312
12266,10279,517
12889,10279,758
11292,10299,2405
12889,10299,2304
12892,10299,2345
13930,10299,2846
14107,10299,2552
14747,10299,1448
14771,10299,2018
10397,10372,1304
11292,10372,125
11298,10372,701
12266,10372,913
12892,10372,737
13930,10372,1013
14771,10372,848
11057,10397,226
11292,10397,1199
11298,10397,731
11618,10397,746
12266,10397,689
12478,10397,760
12889,10397,1747
12892,10397,1946
13204,10397,404
13303,10397,594
13930,10397,606
14107,10397,1587
14747,10397,2182
14771,10397,2139
10397,10408,765
13930,10408,160
10397,10423,813
11057,10423,1032
11292,10423,775
11298,10423,190
11618,10423,1504
12266,10423,140
12478,10423,1521
12889,10423,1090
12892,10423,1242
13204,10423,994
13303,10423,1103
13930,10423,977
14107,10423,872
14747,10423,1770
14771,10423,1504
10397,10431,164
11618,10431,583
13930,10431,536
10397,10434,714
13930,10434,632
13930,10469,122
10397,10529,859
11057,10529,644
11292,10529,1671
11298,10529,1471
11618,10529,116
12889,10529,2297
12892,10529,2527
13204,10529,1050
13303,10529,1194
13930,10529,783
11292,10561,845
14107,10561,425
14771,10561,238
10397,10599,134
11292,10599,1083
12266,10599,562
12889,10599,1618
13204,10599,479
13930,10599,584
11292,10620,455
11292,10627,516
12889,10666,954
14747,10666,93
10397,10685,533
13930,10685,116
10397,10693,214
11057,10693,328
11292,10693,1014
11298,10693,631
11618,10693,748
12266,10693,657
12889,10693,1587
12892,10693,1797
13204,10693,616
13930,10693,409
14107,10693,1449
14747,10693,1978
14771,10693,1969
11292,10713,649
11298,10713,1272
12266,10713,1482
12889,10713,519
12892,10713,674
13930,10713,1437
14107,10713,735
14747,10713,399
14771,10713,522
10397,10721,946
11057,10721,728
11292,10721,1754
11298,10721,1562
11618,10721,200
12266,10721,1597
12478,10721,187
